'batch_access_key','collected','x_pos','y_pos','o2_pct','temp_c','pressure_mb','status'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:06',5.0,5.0,23.4,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:09',4.0,4.0,23.3,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:11',10.0,10.0,23.4,18.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:14',12.0,10.0,23.2,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:16',14.0,10.0,23.1,18.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:19',16.0,10.0,23.2,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:21',18.0,10.0,23.0,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:24',20.0,10.0,22.8,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:26',22.0,10.0,22.9,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:29',24.0,10.0,22.8,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:31',10.0,12.0,22.7,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:34',12.0,12.0,22.7,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:36',14.0,12.0,22.6,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:39',16.0,12.0,22.7,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:41',18.0,12.0,22.5,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:44',20.0,12.0,22.5,19.3,1014.0,'O2 Read Successful'
